HTA_maille,surface_tertiaire_electricite,surface_tertiaire_non_electricite,surface_residentiel_collectif_electricite,surface_residentiel_collectif_non_electricite,surface_residentiel_individuel_electricite,surface_residentiel_individuel_non_electricite,surface_dependance,surface_secondaire,CARREAU_nb_individus_0_3,CARREAU_nb_individus_4_5,CARREAU_nb_individus_6_10,CARREAU_nb_individus_11_17,CARREAU_nb_individus_18_24,CARREAU_nb_individus_25_39,CARREAU_nb_individus_40_54,CARREAU_nb_individus_55_64,CARREAU_nb_individus_65_79,CARREAU_nb_individus_80_plus,CARREAU_nb_individus_age_inconnu,CARREAU_revenu_bat,FUS_nb_log,CARREAU_nb_menages,CARREAU_nb_menages_pauvres,CARREAU_nb_menages_1_individu,CARREAU_nb_menages_5_indiv_et_plus,CARREAU_nb_menages_proprietaires,CARREAU_nb_menages_monoparentaux,CARREAU_surface_logements_carreau,CARREAU_nb_menages_logements_collectifs,CARREAU_nb_menages_maisons,CARREAU_nb_logements_sociaux,CARREAU_nb_individus,BDNB_hauteur,FUS_annee_construction,CARREAU_surface_par_personne,CARREAU_age_moyen_occupants,CARREAU_revenu_par_habitant,pred_residential_mwh,pred_non_residential_mwh,pred_total_mwh,aggregation_type,source_meshes,n_base_meshes_combined
F28,105212.0054,69073.09308,98706.42,115241.9575,9270.922617,24408.96958,676.525,228.39,106.2270971,59.24278991,132.5784039,180.8345369,229.2567043,651.0304908,502.7645202,306.7296421,332.2836955,146.2874367,1.276517563,66457890.18,4271.093864,1412.078109,194.5077236,728.2740466,57.06104771,711.2395184,120.0791416,97212.5667,1323.48098,88.59712911,105.6181295,2648.511835,15.32042706,1959.765746,93.49713542,40.74167741,25092.54038,4846.218085,15418.72846,20264.94654,base_mesh,F28,1
F29,122446.6517,38786.1742,216638.1861,157315.436,3661.94128,9654.220716,6426.595,609.43,176.6913725,84.19775217,216.2939911,278.5722468,497.5899292,1456.573978,861.3787737,366.1139324,393.2917527,183.5905725,0.591251627,107432685.2,8177.538677,2616.535668,574.3918715,1544.933363,78.28040303,875.0465359,221.8597012,152160.712,2592.157237,24.3784311,286.5894909,4514.885553,17.38645601,1952.349423,85.77621283,37.54797998,23795.21783,8775.343024,16673.43474,25448.77776,base_mesh,F29,1
F30,24380.25342,34200.99168,109223.4767,108289.067,796.37,2909.97548,0,0,80.63751594,34.98168232,87.49970174,117.4025599,198.6681929,680.1435491,376.5021913,174.0053071,202.0325307,104.6252791,0.484260143,55162143.43,3320.668024,1194.224368,186.4617708,697.4060935,28.48889961,489.872683,79.22285502,77974.86456,1178.557327,15.66704037,30.37675302,2056.98277,18.71951417,1920.61352,107.5453292,38.91478518,26817.01773,4336.94944,5696.022309,10032.97175,base_mesh,F30,1
F31,37410.8728,29661.23946,154311.2786,214602.0831,8118.222305,43617.3911,12086.01808,249.4684661,219.9401277,107.5965642,255.302917,329.6351499,469.2486909,1524.415439,964.6417205,495.7490587,508.9427432,286.6931462,1.48055187,119079209.6,8242.4124,2890.78762,539.2908533,1599.187108,89.97017961,1205.245999,293.696565,177008.5028,2711.522276,179.2653437,326.1475554,5163.646109,17.83736959,1950.839419,81.46355623,39.11092032,23061.071,9297.087267,6062.259266,15359.34653,base_mesh,F31,1
F32,57559.90466,43689.63622,224761.143,304824.5497,5776.785078,13278.27431,2727.016136,1859.68,278.117782,129.2515449,299.8201369,365.2553754,563.9487777,1960.576719,1244.097836,663.4752054,701.1575554,346.9132851,1.023835802,163112320.6,11907.11749,3759.108846,608.0573126,2113.201005,96.17720461,1540.383279,320.6158117,229404.0625,3690.954139,68.15470635,487.9876916,6553.638053,16.27393021,1963.670162,83.75659942,39.82714157,24888.82041,11459.94224,10402.59956,21862.54179,base_mesh,F32,1
F01_F08,92001.96572,176064.1327,137516.4027,543203.5374,2900.5275,23908.39809,1272.25,12397.28029,358.5854873,181.7762583,507.8402847,611.4053747,656.4945087,1917.130898,1438.0329,800.786468,975.8727555,516.7964484,10.65170756,175582860.5,13209.9392,3959.08842,759.9396021,1891.906697,237.8635567,1624.035787,443.1285182,268554.6042,3905.796127,53.2922931,932.2489964,7975.373092,18.95863701,1978.908002,88.73356739,39.94016535,22015.62968,11782.22498,28348.63569,40130.86067,pair_merge,"F01,F08",2
F01_F18,65607.77411,229765.0561,213728.8268,539669.9005,1892.965,15506.06328,6950.9,1825.53,378.3232579,184.7423808,530.9462591,745.2136874,781.5018538,2059.465566,1686.03375,831.050144,1105.245594,534.9587299,14.10682326,223540747,13289.35115,4360.327413,660.4281495,2061.054669,255.8127875,1770.785409,473.4490236,329524.8694,4340.162994,20.16441929,1014.36711,8851.588046,20.8864027,1952.249277,87.0801659,39.78202184,25254.30982,13612.19366,29414.96525,43027.15891,pair_merge,"F01,F18",2
F01_F20,60958.26892,130916.3918,351225.1981,711349.8518,12406.29896,47905.78934,9365.839002,357.695,551.2081568,264.1445968,682.13759,822.1666103,1020.402187,3028.277126,2159.458125,1219.034125,1514.330026,902.4294403,5.433529758,291967592.5,20331.17483,6348.088586,1056.881363,3189.132496,273.3161184,2893.073914,620.9903108,440958.3001,6135.368799,212.7197868,1013.487678,12169.02151,18.71912756,1967.273941,92.29516168,40.84811061,23992.69261,19975.53167,18172.07677,38147.60845,pair_merge,"F01,F20",2
F01_F22,47793.11403,104566.422,216761.5189,633643.6715,8037.151578,56195.16345,2712.580406,232.525,442.6383066,220.5540614,541.0595433,679.4624517,768.5542877,2372.951742,1748.471996,930.3590333,1134.672987,630.9949033,8.694350926,223422937.2,18812.41946,4857.214416,795.4476193,2351.625204,213.5243646,2220.67222,526.4203851,337179.4742,4686.243168,170.9712479,834.9111897,9478.413664,17.35553903,1970.647105,96.55610506,40.13720849,23571.76476,14849.93881,14798.31769,29648.2565,pair_merge,"F01,F22",2
F01_F28,137992.7525,119182.3331,169156.3871,245183.6348,10094.70012,27034.77926,771.78,460.915,215.2753561,112.5201926,282.8534163,345.5451178,433.8048517,1263.222187,943.9340306,539.527949,641.2097074,293.8379171,2.990452818,124851728.8,8386.279577,2652.698144,382.5594258,1336.399935,116.2674773,1286.243519,246.6042252,183388.7005,2553.324875,99.37326871,308.2838359,5074.721179,17.61229714,1966.569567,88.96439536,40.4106653,24602.67754,8818.712469,24034.81416,32853.52663,pair_merge,"F01,F28",2
F01_F29,155227.3988,88895.4142,287088.1532,287257.1132,4485.71878,12280.03039,6521.85,841.955,285.7396315,137.4751549,366.5690035,443.2828277,702.1380766,2068.765674,1302.548284,598.9122393,702.2177646,331.1410529,2.305186882,165826523.8,12292.72439,3857.155702,762.4435736,2153.059251,137.4868326,1450.050536,348.3847848,238336.8458,3822.001132,35.15457071,489.2551973,6941.094896,18.61346432,1960.608169,85.16106241,38.42230665,23890.54267,12747.83741,25289.52045,38037.35785,pair_merge,"F01,F29",2
F02_F03_F04_F05_F17,168374.3181,343133.5322,648513.405,1134032.534,15640.70777,96389.01367,9374.233765,584.7808213,633.7558864,334.1567508,856.3940385,1210.723806,1758.603872,4480.437764,3173.10375,1879.732094,2407.180916,1129.598908,22.18659658,482391408,28851.76013,9585.406792,1603.085879,4986.434156,385.4386585,3893.914956,900.5966171,710954.8973,9342.810129,242.596663,1440.645471,17885.87438,18.38619638,1923.001083,106.2851735,41.19861114,26970.52421,33710.01914,53199.54445,86909.56359,pair_merge,"F02,F03_F04_F05_F17",2
F02_F18,67504.81597,248013.4739,253579.6462,640999.6702,7609.965163,47851.30556,7835.034065,1593.005,415.994803,201.4491011,581.1764844,858.9515469,910.1528853,2444.741976,1947.353687,1054.796076,1355.167059,606.4594365,21.24346339,258000593.6,15538.34888,5250.59575,932.0220107,2584.832111,282.5057489,1913.305518,574.0895238,385881.3622,5182.258755,68.33699492,1428.493906,10397.48652,18.73151996,1938.372678,91.37213935,40.29409126,24813.7464,16509.15446,31318.00807,47827.16253,pair_merge,"F02,F18",2
F02_F30,59058.04236,102558.6495,219524.2632,339560.514,7337.147663,37881.02743,979.3890654,0,227.3573201,104.9658054,288.0049394,395.8510003,531.8673718,1677.611656,1078.991639,630.5495456,760.8800079,323.6764661,9.334835525,148015828.7,9684.851466,3325.112738,646.1073343,1829.309424,114.3882905,1207.396793,306.3884388,220507.4912,3250.496983,74.61575561,647.1692551,6029.090587,16.55133413,1926.748366,100.2311947,40.47679913,24550.27447,11206.40462,16215.15083,27421.55546,pair_merge,"F02,F30",2
F03_F04_F05_F17_F18,166523.5562,454431.6904,681491.4782,1312489.311,10169.11761,74298.21532,15250.4897,2177.785821,756.3110812,395.6376059,1036.560048,1512.778472,2002.3584,4930.243526,3715.478543,2021.439693,2644.653021,1297.955971,25.72890921,554684631.1,31661.74213,10574.2258,1615.816763,5307.459607,496.1456256,4372.172255,1020.354973,811771.0063,10381.18957,193.0362274,1635.554373,20339.14527,19.6527879,1927.607524,102.5055721,40.70220018,27271.77685,36480.26324,63479.29546,99959.5587,pair_merge,"F03_F04_F05_F17,F18",2
